SALUT,salut
MULTUMESC,multumesc
SCUZE,scuze
NU,nu
BINE,bine
EU,eu
TU,tu
CE,ce
CINE,cine
UNDE,unde
CAND,cand
CUM,cum
DE_CE,de ce
ACUM,acum
AZI,azi
MAINE,maine
IERI,ieri
DIMINEATA,dimineata
SEARA,seara
NOAPTE,noapte
ORA,ora
SAPTAMANA,saptamana
TARZIU,tarziu
DEVREME,devreme
MANCA,mananc
BEA,beau
DORMI,dorm
MERGE,merg
VENI,vin
PLECA,plec
VREA,vreau
PUTEA,pot
STI,stiu
INTELEGE,inteleg
VORBI,vorbesc
ASCULTA,ascult
VEDEA,vad
CITI,citesc
SCRIE,scriu
LUCRA,lucrez
AJUTA,ajuta-ma
IUBI,iubesc
PLACEA,imi place
FACE,fac
AVEA,am
LUA,iau
CUMPARA,cumpar
PLATI,platesc
ASTEPTA,astept
TERMINA,termin
INCEPE,incep
INVATA,invat
ODIHNI,ma odihnesc
DUREA,ma doare
MAMA,mama
TATA,tata
FRATE,fratele
SORA,sora
COPIL,copilul
FAMILIE,familia
PRIETEN,prietenul
CASA,casa
SCOALA,scoala
MAGAZIN,magazin
SPITAL,spital
MEDIC,medicul
MEDICAMENT,medicamentul
APA,apa
MANCARE,mancare
CAFEA,cafea
PAINE,paine
BANI,bani
TELEFON,telefonul
MASINA,masina
TOALETA,toaleta
STRADA,strada
NUME,numele
TIMP,timp
FERICIT,fericit
TRIST,trist
OBOSIT,obosit
BOLNAV,bolnav
SANATOS,sanatos
FOAME,mi-e foame
SETE,mi-e sete
MARE,mare
MIC,mic
IMPORTANT,important
URGENT,urgent
MUNCA,munca
SEDINTA,sedinta
PROIECT,proiectul
COLEG,colegul
SEF,seful
EMAIL,emailul
RAPORT,raportul
PAUZA,pauza
INTREBARE,o intrebare
RASPUNS,un raspuns
PROBLEMA,o problema
