label,right_required,right_x_min,right_x_max,right_y_min,right_y_max,left_required,left_x_min,left_x_max,left_y_min,left_y_max
NONE,1,0.942,1.627,0.481,2.018,1,-1.929,-1.185,0.164,1.115
SALUT,0,,,,,1,-1.96,-0.796,0.044,0.954
MULTUMESC,0,,,,,1,-1.085,-0.261,1.264,2.445
TE_ROG,0,,,,,1,-1.474,-0.296,1.293,1.996
AJUTOR,1,0.214,0.545,1.584,1.865,1,-1.032,-0.78,1.518,1.842
STOP,0,,,,,0,,,,
BINE,0,,,,,0,,,,
NUME,0,,,,,0,,,,
PRIETEN,0,,,,,0,,,,
LA_REVEDERE,0,,,,,0,,,,
BUNA_DIMINEATA,0,,,,,0,,,,
BUNA_ZIUA,0,,,,,0,,,,
BUNA_SEARA,0,,,,,0,,,,
NOAPTE_BUNA,0,,,,,0,,,,
BUN_VENIT,0,,,,,0,,,,
PE_CURAND,0,,,,,0,,,,
CU_PLACERE,0,,,,,0,,,,
SCUZE,0,,,,,0,,,,
IMI_PARE_RAU,0,,,,,0,,,,
FELICITARI,0,,,,,0,,,,
LA_MULTI_ANI,0,,,,,0,,,,
POATE,0,,,,,0,,,,
NU_STIU,0,,,,,0,,,,
STIU,0,,,,,0,,,,
INTELEG,0,,,,,0,,,,
NU_INTELEG,0,,,,,0,,,,
REPETA,0,,,,,0,,,,
INCET,0,,,,,0,,,,
CE,0,,,,,0,,,,
CINE,0,,,,,0,,,,
UNDE,0,,,,,0,,,,
CAND,0,,,,,0,,,,
CUM,0,,,,,0,,,,
DE_CE,0,,,,,0,,,,
CAT_COSTA,0,,,,,0,,,,
CUM_TE_NUMESTI,0,,,,,0,,,,
CE_MAI_FACI,0,,,,,0,,,,
VREAU,0,,,,,0,,,,
AM_NEVOIE,0,,,,,0,,,,
POT,0,,,,,0,,,,
NU_POT,0,,,,,0,,,,
AJUTA_MA,0,,,,,0,,,,
ASTEAPTA,0,,,,,0,,,,
VINO,0,,,,,0,,,,
PLEACA,0,,,,,0,,,,
GATA,0,,,,,0,,,,
INCA,0,,,,,0,,,,
MAMA,0,,,,,0,,,,
TATA,0,,,,,0,,,,
FRATE,0,,,,,0,,,,
SORA,0,,,,,0,,,,
COPIL,0,,,,,0,,,,
BUNIC,0,,,,,0,,,,
BUNICA,0,,,,,0,,,,
SOT,0,,,,,0,,,,
SOTIE,0,,,,,0,,,,
FAMILIE,0,,,,,0,,,,
FERICIT,0,,,,,0,,,,
TRIST,0,,,,,0,,,,
SUPARAT,0,,,,,0,,,,
OBOSIT,0,,,,,0,,,,
SPERIAT,0,,,,,0,,,,
IUBESC,0,,,,,0,,,,
IMI_PLACE,0,,,,,0,,,,
NU_IMI_PLACE,0,,,,,0,,,,
FOAME,0,,,,,0,,,,
SETE,0,,,,,0,,,,
DOARE,0,,,,,0,,,,
BOLNAV,0,,,,,0,,,,
SANATOS,0,,,,,0,,,,
MEDIC,0,,,,,0,,,,
SPITAL,0,,,,,0,,,,
MEDICAMENT,0,,,,,0,,,,
AMETEALA,0,,,,,0,,,,
ODIHNA,0,,,,,0,,,,
ACUM,0,,,,,0,,,,
MAI_TARZIU,0,,,,,0,,,,
AZI,0,,,,,0,,,,
MAINE,0,,,,,0,,,,
IERI,0,,,,,0,,,,
DEVREME,0,,,,,0,,,,
TARZIU,0,,,,,0,,,,
ACASA,0,,,,,0,,,,
SCOALA,0,,,,,0,,,,
MUNCA,0,,,,,0,,,,
MAGAZIN,0,,,,,0,,,,
TOALETA,0,,,,,0,,,,
STRADA,0,,,,,0,,,,
MERGEM,0,,,,,0,,,,
VORBESTE,0,,,,,0,,,,
ASCULTA,0,,,,,0,,,,
VEZI,0,,,,,0,,,,
UITA_TE,0,,,,,0,,,,
CITESTE,0,,,,,0,,,,
SCRIE,0,,,,,0,,,,
JOACA,0,,,,,0,,,,
MANANCA,0,,,,,0,,,,
BEA,0,,,,,0,,,,
DOARME,0,,,,,0,,,,
TE_IUBESC,0,,,,,0,,,,
SUNT_BINE,0,,,,,0,,,,
